"","epNSCs","qNSCs","lpNSCs","gene"
"asRNA:CR45714","Low_signal","HP1","HP1","asRNA:CR45714"
"psh","Enhancers","HP1","H1","psh"
"CG15046","Low_signal","HP1","HP1","CG15046"
"CR46403","Low_signal","Low_signal","H1","CR46403"
"CG15044","H1","HP1","H1","CG15044"
"CG15043","Gene_body_1","Gene_body_1","Gene_body_1","CG15043"
"lncRNA:CR45627","Gene_body_2","Gene_body_2","Gene_body_2","lncRNA:CR45627"
"Pgant7","Gene_body_2","Gene_body_2","Gene_body_2","Pgant7"
"Xrcc2","Open_promoters","Gene_body_2","Open_promoters","Xrcc2"
"Wnt5","Gene_body_2","Gene_body_2","Gene_body_2","Wnt5"
"Ggt-1","Low_signal","HP1","H1","Ggt-1"
"CG6470","Low_signal","HP1","Low_signal","CG6470"
"HisRS","Low_signal","Gene_body_2","Enhancers","HisRS"
"Bx","Enhancers","Pc","Enhancers","Bx"
"CG6481","Enhancers","HP1","Enhancers","CG6481"
"CG15042","Enhancers","Pc","Enhancers","CG15042"
"CG15047","Enhancers","Low_signal","Low_signal","CG15047"
"tRNA:Pro-CGG-2-1","Low_signal","Pc","Pc","tRNA:Pro-CGG-2-1"
"CG15040","Enhancers","Pc","Enhancers","CG15040"
"lncRNA:CR44705","Low_signal","Low_signal","H1","lncRNA:CR44705"
"wgn","H1","Enhancers","H1","wgn"
"Rip11","Enhancers","Gene_body_1","Enhancers","Rip11"
"Nup35","Open_promoters","Open_promoters","Open_promoters","Nup35"
"Hou","Open_promoters","Enhancers","Open_promoters","Hou"
"Ing3","Gene_body_2","Open_promoters","Gene_body_2","Ing3"
"CG6659","Gene_body_2","Gene_body_2","Gene_body_2","CG6659"
"fu","Gene_body_2","Gene_body_2","Gene_body_1","fu"
"CG6696","Gene_body_2","Gene_body_2","Gene_body_2","CG6696"
"lncRNA:CR45514","H1","Low_signal","Low_signal","lncRNA:CR45514"
"lncRNA:CR44707","H1","H1","H1","lncRNA:CR44707"
"phm","Gene_body_1","H1","Gene_body_1","phm"
"Cyp18a1","Low_signal","H1","H1","Cyp18a1"
"CCKLR-17D1","H1","Enhancers","H1","CCKLR-17D1"
"Cyp308a1","H1","Pc","H1","Cyp308a1"
"CG42302","H1","Open_promoters","H1","CG42302"
"lncRNA:CR45512","Low_signal","Enhancers","Enhancers","lncRNA:CR45512"
"CG6873","H1","H1","H1","CG6873"
"CCKLR-17D3","H1","Open_promoters","Enhancers","CCKLR-17D3"
"CG6891","Gene_body_2","Gene_body_2","Gene_body_2","CG6891"
"CG18259","Low_signal","Open_promoters","Open_promoters","CG18259"
"CR6900","Gene_body_2","Gene_body_2","Gene_body_1","CR6900"
"CG6961","Gene_body_2","Open_promoters","Open_promoters","CG6961"
"S6KL","Gene_body_2","Gene_body_2","H1","S6KL"
"Atg101","Gene_body_2","Gene_body_2","Gene_body_2","Atg101"
"bnb","Gene_body_2","Low_signal","Low_signal","bnb"
"asRNA:CR44841","H1","HP1","H1","asRNA:CR44841"
"CG7058","Gene_body_2","Gene_body_2","Gene_body_1","CG7058"
"CG42450","H1","Gene_body_2","Enhancers","CG42450"
"CG7101","Open_promoters","Low_signal","Open_promoters","CG7101"
"Pvf1","H1","H1","Low_signal","Pvf1"
"htk","Gene_body_2","Gene_body_2","Gene_body_1","htk"
"shop","Gene_body_2","Gene_body_2","Gene_body_1","shop"
"CG7322","Low_signal","HP1","Gene_body_2","CG7322"
"Usp39","Open_promoters","Open_promoters","Open_promoters","Usp39"
"CG32544","Enhancers","Open_promoters","Open_promoters","CG32544"
"CG7326","Open_promoters","Open_promoters","Open_promoters","CG7326"
"Dora","Gene_body_2","Gene_body_2","Gene_body_1","Dora"
"CG7332","Gene_body_2","Gene_body_2","Gene_body_2","CG7332"
"Flacc","Gene_body_2","Open_promoters","Open_promoters","Flacc"
"SdhBL","Low_signal","HP1","Low_signal","SdhBL"
"CG7378","Low_signal","HP1","Low_signal","CG7378"
"CG43759","Low_signal","Enhancers","Low_signal","CG43759"
"Diedel3","Low_signal","Low_signal","H1","Diedel3"
"CG14190","Low_signal","Enhancers","Enhancers","CG14190"
"CG7406","H1","H1","H1","CG7406"
"CG14191","Low_signal","HP1","H1","CG14191"
"CG7423","Low_signal","HP1","H1","CG7423"
"CG15882","H1","HP1","Low_signal","CG15882"
"tgy","Low_signal","HP1","Enhancers","tgy"
"lncRNA:CR45711","H1","Enhancers","Enhancers","lncRNA:CR45711"
"Obp18a","Low_signal","Low_signal","Enhancers","Obp18a"
"Inx5","Low_signal","HP1","H1","Inx5"
"mir-4959","Low_signal","Low_signal","H1","mir-4959"
"CG33939","Low_signal","Enhancers","Enhancers","CG33939"
"CG7556","Gene_body_2","Open_promoters","Gene_body_2","CG7556"
"CG7453","Open_promoters","Open_promoters","Open_promoters","CG7453"
"CG33253","Low_signal","HP1","H1","CG33253"
"Mec2","Low_signal","H1","H1","Mec2"
"HP1D3csd","Low_signal","HP1","HP1","HP1D3csd"
"CG7914","Open_promoters","Open_promoters","Open_promoters","CG7914"
"CG14194","Gene_body_2","Open_promoters","Open_promoters","CG14194"
"CG7990","Gene_body_1","Gene_body_2","Enhancers","CG7990"
"Ulp1","Gene_body_2","Gene_body_2","Gene_body_2","Ulp1"
"CG14195","Low_signal","HP1","Low_signal","CG14195"
"Mur18B","Low_signal","Enhancers","H1","Mur18B"
"Muc18B","H1","H1","H1","Muc18B"
"CG7884","Low_signal","H1","H1","CG7884"
"CG14196","Low_signal","H1","H1","CG14196"
"CG7889","Gene_body_2","HP1","Gene_body_1","CG7889"
"CG7992","Low_signal","HP1","Low_signal","CG7992"
"Hs3st-B","Gene_body_2","Open_promoters","Low_signal","Hs3st-B"
"rictor","Gene_body_2","Gene_body_2","Gene_body_2","rictor"
"Vav","Gene_body_2","Open_promoters","Gene_body_2","Vav"
"CG8010","Open_promoters","Open_promoters","Open_promoters","CG8010"
"CG32537","Gene_body_2","Gene_body_2","Gene_body_1","CG32537"
"CG32536","Gene_body_2","Gene_body_1","Gene_body_1","CG32536"
"CG8028","H1","HP1","HP1","CG8028"
"CG8034","Low_signal","Enhancers","Enhancers","CG8034"
"CG8051","H1","H1","H1","CG8051"
"out","Low_signal","H1","H1","out"
"nAChRalpha7","Low_signal","HP1","Low_signal","nAChRalpha7"
"CG32533","Gene_body_2","Gene_body_2","Gene_body_2","CG32533"
"narya","Gene_body_2","Gene_body_2","Gene_body_2","narya"
"mRpS14","Open_promoters","Open_promoters","Open_promoters","mRpS14"
"Naa15-16","Gene_body_2","Gene_body_2","Open_promoters","Naa15-16"
"lncRNA:CR43260","Gene_body_1","Gene_body_1","Gene_body_2","lncRNA:CR43260"
"pcm","Gene_body_2","Gene_body_2","Gene_body_2","pcm"
"ND-18","Open_promoters","Open_promoters","Open_promoters","ND-18"
"CG12204","Open_promoters","Open_promoters","Open_promoters","CG12204"
"ksh","Open_promoters","Open_promoters","Open_promoters","ksh"
"asRNA:CR44340","Open_promoters","Open_promoters","Open_promoters","asRNA:CR44340"
"Pfrx","Open_promoters","Open_promoters","Enhancers","Pfrx"
"CG14200","Gene_body_2","Gene_body_2","Gene_body_1","CG14200"
"Idh3a","Open_promoters","Open_promoters","Open_promoters","Idh3a"
"CoRest","Gene_body_2","Gene_body_2","Gene_body_1","CoRest"
"CG12231","Pc","Pc","Pc","CG12231"
"CG32532","Pc","Pc","Pc","CG32532"
"mir-972","Pc","Pc","Pc","mir-972"
"mir-9369","Pc","Pc","Pc","mir-9369"
"mir-973","Pc","Pc","Pc","mir-973"
"mir-974","Pc","Pc","Pc","mir-974"
"mir-4966-1","Low_signal","Low_signal","Pc","mir-4966-1"
"mir-4966-2","Low_signal","Low_signal","Pc","mir-4966-2"
"mir-975","Enhancers","Pc","Pc","mir-975"
"mir-976","Enhancers","Pc","Pc","mir-976"
"mir-977","Enhancers","Pc","Pc","mir-977"
"Grip84","Gene_body_2","Gene_body_2","Open_promoters","Grip84"
"mir-978","Gene_body_2","Pc","Gene_body_1","mir-978"
"mir-979","Low_signal","Gene_body_2","Low_signal","mir-979"
"car","Gene_body_1","Gene_body_1","Gene_body_2","car"
"Tao","Open_promoters","Gene_body_2","Open_promoters","Tao"
"CG14218","Low_signal","H1","H1","CG14218"
"CG14204","Gene_body_1","HP1","H1","CG14204"
"CG14219","Gene_body_2","HP1","H1","CG14219"
"CG14205","H1","HP1","HP1","CG14205"
"RpS10b","Open_promoters","Open_promoters","Open_promoters","RpS10b"
"CG14220","Open_promoters","Open_promoters","Open_promoters","CG14220"
"CG14207","Enhancers","Open_promoters","Gene_body_2","CG14207"
"Shawn","Enhancers","Open_promoters","H1","Shawn"
"Tyler","Enhancers","Open_promoters","H1","Tyler"
"CG14210","Open_promoters","Open_promoters","Open_promoters","CG14210"
"Pstk","Open_promoters","Open_promoters","Open_promoters","Pstk"
"Tim9b","Open_promoters","Open_promoters","Open_promoters","Tim9b"
"CG14221","Low_signal","Gene_body_2","Low_signal","CG14221"
"Naa20A","Open_promoters","Gene_body_2","Open_promoters","Naa20A"
"MKP-4","Gene_body_2","Gene_body_2","Open_promoters","MKP-4"
"CG14212","Gene_body_2","Gene_body_2","Gene_body_2","CG14212"
"e(y)3","Gene_body_2","Gene_body_2","Gene_body_2","e(y)3"
"Rcd-1","Open_promoters","Open_promoters","Open_promoters","Rcd-1"
"CG12237","Open_promoters","Open_promoters","Open_promoters","CG12237"
"Sec61gamma","Open_promoters","Gene_body_2","Open_promoters","Sec61gamma"
"Arp10","Open_promoters","Open_promoters","Open_promoters","Arp10"
"Ranbp21","Gene_body_2","Gene_body_2","Open_promoters","Ranbp21"
"Elys","Gene_body_2","Gene_body_2","Gene_body_1","Elys"
"Ssu72","Gene_body_2","Open_promoters","Open_promoters","Ssu72"
"asRNA:CR44512","Low_signal","Enhancers","Low_signal","asRNA:CR44512"
"Zw","Gene_body_2","HP1","H1","Zw"
"et","Gene_body_2","HP1","Gene_body_1","et"
"dome","Gene_body_2","Gene_body_2","Gene_body_1","dome"
"Ubqn","Gene_body_2","Gene_body_2","Open_promoters","Ubqn"
"CG14227","Gene_body_2","Gene_body_1","Gene_body_2","CG14227"
"Mer","Gene_body_2","Low_signal","Low_signal","Mer"
"CG14229","Open_promoters","Open_promoters","Open_promoters","CG14229"
"Cdc42","Open_promoters","Open_promoters","Open_promoters","Cdc42"
"Tcs4","Gene_body_2","Gene_body_2","Open_promoters","Tcs4"
"CG14232","Open_promoters","Open_promoters","Open_promoters","CG14232"
"CG14230","Open_promoters","Open_promoters","Open_promoters","CG14230"
"meso18E","Low_signal","HP1","Low_signal","meso18E"
"lncRNA:CR44889","Enhancers","HP1","Enhancers","lncRNA:CR44889"
"CG12531","HP1","Gene_body_2","Gene_body_1","CG12531"
"AP-1-2beta","Open_promoters","Open_promoters","Open_promoters","AP-1-2beta"
"CG14234","Low_signal","Gene_body_2","Low_signal","CG14234"
"COX6B","Gene_body_2","Open_promoters","Open_promoters","COX6B"
"CG18809","Gene_body_2","Open_promoters","Open_promoters","CG18809"
"CG33932","Open_promoters","Open_promoters","Open_promoters","CG33932"
"Rpp20","Open_promoters","Open_promoters","Open_promoters","Rpp20"
"asRNA:CR45501","Open_promoters","Open_promoters","Open_promoters","asRNA:CR45501"
"parvin","Gene_body_2","Gene_body_2","Open_promoters","parvin"
"Alr","Open_promoters","Open_promoters","Open_promoters","Alr"
"Abcd3","Gene_body_2","Gene_body_2","Enhancers","Abcd3"
"CG12702","Low_signal","Gene_body_2","Open_promoters","CG12702"
"zld","Open_promoters","Open_promoters","Enhancers","zld"
"lncRNA:CR44885","Enhancers","Low_signal","Enhancers","lncRNA:CR44885"
"SkpD","HP1","HP1","Low_signal","SkpD"
"SkpC","HP1","HP1","Low_signal","SkpC"
"SkpE","HP1","HP1","Enhancers","SkpE"
"pico","Enhancers","Gene_body_2","Enhancers","pico"
"Nup205","Gene_body_2","Gene_body_2","Gene_body_1","Nup205"
"THADA","Gene_body_2","Gene_body_2","Gene_body_1","THADA"
"Hers","Gene_body_2","Pc","Enhancers","Hers"
"amn","Enhancers","Pc","Pc","amn"
"CG43784","H1","Low_signal","Low_signal","CG43784"
"CG12655","H1","HP1","H1","CG12655"
"Nep3","Low_signal","HP1","H1","Nep3"
"CG17003","H1","HP1","H1","CG17003"
"Dop2R","H1","Enhancers","Enhancers","Dop2R"
"tRNA:Pro-CGG-1-1","Low_signal","Low_signal","Enhancers","tRNA:Pro-CGG-1-1"
"CG9570","H1","Enhancers","Enhancers","CG9570"
"lncRNA:CR45628","Low_signal","Enhancers","H1","lncRNA:CR45628"
"karr","H1","HP1","H1","karr"
"CG34331","H1","Enhancers","Low_signal","CG34331"
"CG15322","Low_signal","H1","Low_signal","CG15322"
"CG42583","H1","HP1","H1","CG42583"
"CG34332","H1","Low_signal","Low_signal","CG34332"
"aspr","Low_signal","Low_signal","H1","aspr"
"Rab35","Gene_body_2","Open_promoters","Open_promoters","Rab35"
"Phf7","Low_signal","Low_signal","Gene_body_2","Phf7"
"Ech1","Gene_body_2","Gene_body_2","Low_signal","Ech1"
"CG9581","Open_promoters","Gene_body_2","Open_promoters","CG9581"
"CG9578","Open_promoters","Open_promoters","Open_promoters","CG9578"
"sw","HP1","Low_signal","Gene_body_2","sw"
"lncRNA:CR45465","Enhancers","HP1","Enhancers","lncRNA:CR45465"
"obst-A","H1","Low_signal","H1","obst-A"
"Peritrophin-A","Low_signal","Enhancers","H1","Peritrophin-A"
"CG17068","Gene_body_2","Gene_body_2","Open_promoters","CG17068"
"Rab10","Gene_body_2","Gene_body_2","Gene_body_2","Rab10"
"CG17065","Gene_body_2","Gene_body_2","Gene_body_2","CG17065"
"CG42577","Low_signal","HP1","H1","CG42577"
"Inx6","Low_signal","H1","H1","Inx6"
"CG1631","Low_signal","Pc","H1","CG1631"
"CG12679","H1","Low_signal","Low_signal","CG12679"
"CR34311","H1","H1","H1","CR34311"
"l(1)G0004","Open_promoters","Open_promoters","Open_promoters","l(1)G0004"
"Syx16","Open_promoters","Open_promoters","Open_promoters","Syx16"
"HERC2","Gene_body_2","Gene_body_2","Gene_body_1","HERC2"
"CG15459","Gene_body_2","Low_signal","Gene_body_2","CG15459"
"CG15458","H1","Low_signal","Low_signal","CG15458"
"Obp19a","Low_signal","HP1","H1","Obp19a"
"Obp19b","Low_signal","HP1","H1","Obp19b"
"Obp19c","Low_signal","Low_signal","H1","Obp19c"
"Obp19d","Gene_body_2","Gene_body_2","H1","Obp19d"
"Pp4-19C","Gene_body_2","Gene_body_2","Open_promoters","Pp4-19C"
"cactin","Open_promoters","Open_promoters","Open_promoters","cactin"
"CG15456","Open_promoters","Open_promoters","Open_promoters","CG15456"
"CG11710","Gene_body_2","Gene_body_2","Gene_body_2","CG11710"
"mal","Gene_body_2","Gene_body_2","Open_promoters","mal"
"CG1695","Gene_body_2","Low_signal","Low_signal","CG1695"
"CG42578","Low_signal","HP1","Low_signal","CG42578"
"tbc","H1","H1","Low_signal","tbc"
"GstT3","Gene_body_2","Gene_body_2","Open_promoters","GstT3"
"RhoGAP19D","Gene_body_2","Gene_body_2","Enhancers","RhoGAP19D"
"CG15461","Gene_body_1","Gene_body_1","Gene_body_1","CG15461"
"CG1812","Low_signal","Gene_body_2","Gene_body_1","CG1812"
"Tak1","Gene_body_2","Gene_body_2","Gene_body_2","Tak1"
"CG42579","Pc","Pc","Pc","CG42579"
"RunxB","Pc","Pc","Pc","RunxB"
"CG42580","Pc","Pc","Enhancers","CG42580"
"RunxA","Low_signal","Pc","Pc","RunxA"
"asRNA:CR45466","Low_signal","Low_signal","Pc","asRNA:CR45466"
"Cyp6v1","Pc","Pc","Pc","Cyp6v1"
"CG1835","Pc","Pc","Pc","CG1835"
"hydra","Pc","Pc","Pc","hydra"
"lncRNA:CR43862","Pc","Low_signal","Low_signal","lncRNA:CR43862"
"lncRNA:CR45610","Pc","Low_signal","Low_signal","lncRNA:CR45610"
"run","Pc","Pc","Pc","run"
"CG1324","Pc","Pc","Pc","CG1324"
"lncRNA:CR45059","Pc","Pc","Pc","lncRNA:CR45059"
"CG15452","Pc","Pc","Pc","CG15452"
"lncRNA:CR44710","Pc","Pc","Pc","lncRNA:CR44710"
"shakB","Low_signal","Enhancers","Low_signal","shakB"
"CG32507","Pc","Low_signal","Low_signal","CG32507"
"CG15450","Low_signal","Enhancers","H1","CG15450"
"lncRNA:CR43193","H1","H1","Enhancers","lncRNA:CR43193"
"CG1314","H1","H1","H1","CG1314"
"CR11235","Low_signal","Low_signal","Enhancers","CR11235"
"I-3","Low_signal","Low_signal","H1","I-3"
"CG11227","H1","H1","H1","CG11227"
"Npc1b","H1","H1","H1","Npc1b"
"Ser6","Low_signal","H1","H1","Ser6"
"CG1304","Low_signal","H1","Low_signal","CG1304"
"CG11666","Low_signal","H1","H1","CG11666"
"r-cup","Gene_body_2","Gene_body_1","Gene_body_1","r-cup"
"CG1532","Gene_body_1","Gene_body_2","Gene_body_2","CG1532"
"CG1529","Low_signal","HP1","Open_promoters","CG1529"
"Ntf-2","Low_signal","Gene_body_2","Low_signal","Ntf-2"
"CG15449","Low_signal","Gene_body_2","Low_signal","CG15449"
"Mgstl","Gene_body_2","HP1","Enhancers","Mgstl"
"asRNA:CR44431","Low_signal","HP1","Enhancers","asRNA:CR44431"
"Cbs","Gene_body_2","HP1","Low_signal","Cbs"
"Stt3A","Open_promoters","Open_promoters","Open_promoters","Stt3A"
"snoRNA:Me28S-U3344b","Gene_body_2","Low_signal","Gene_body_2","snoRNA:Me28S-U3344b"
"scaRNA:MeU2-C28","Open_promoters","Open_promoters","Open_promoters","scaRNA:MeU2-C28"
"snoRNA:Me28S-U3344a","Open_promoters","Open_promoters","Open_promoters","snoRNA:Me28S-U3344a"
"bves","Enhancers","H1","Enhancers","bves"
"CG32512","Low_signal","Enhancers","Enhancers","CG32512"
"CG11566","H1","H1","H1","CG11566"
"stg1","H1","H1","H1","stg1"
"CG15446","Low_signal","Low_signal","H1","CG15446"
"CG1503","H1","Low_signal","H1","CG1503"
"unc","Gene_body_1","Gene_body_1","Gene_body_1","unc"
"CG15445","Gene_body_1","Gene_body_1","Gene_body_2","CG15445"
"asRNA:CR44374","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR44374"
"CG34120","H1","H1","H1","CG34120"
"CR32511","H1","H1","Low_signal","CR32511"
"ccb","Low_signal","H1","Low_signal","ccb"
"CG1724","Low_signal","Enhancers","Enhancers","CG1724"
"Mnr","H1","Enhancers","Enhancers","Mnr"
"CG32523","Low_signal","Enhancers","H1","CG32523"
"tRNA:Ile-AAT-2-1Psi","Low_signal","Enhancers","Low_signal","tRNA:Ile-AAT-2-1Psi"
"tRNA:Arg-TCG-2-2","Low_signal","Enhancers","Low_signal","tRNA:Arg-TCG-2-2"
"CG1722","H1","Low_signal","Low_signal","CG1722"
"CG1494","H1","HP1","H1","CG1494"
"Abca3","Gene_body_1","Gene_body_1","Gene_body_1","Abca3"
"mir-1007","Gene_body_2","Gene_body_1","Gene_body_1","mir-1007"
"mir-2535b","Gene_body_2","Low_signal","H1","mir-2535b"
"tRNA:Tyr-GTA-1-1","H1","Low_signal","H1","tRNA:Tyr-GTA-1-1"
"tRNA:Tyr-GTA-2-1","Low_signal","Low_signal","H1","tRNA:Tyr-GTA-2-1"
"CG1801","Gene_body_1","Open_promoters","H1","CG1801"
"Rpt6","Open_promoters","Open_promoters","Open_promoters","Rpt6"
"anox","Low_signal","Gene_body_2","Open_promoters","anox"
"SLIRP1","Low_signal","Gene_body_2","Open_promoters","SLIRP1"
"Dd","Open_promoters","Gene_body_2","Gene_body_2","Dd"
"CG1486","Open_promoters","Gene_body_2","Open_promoters","CG1486"
"tty","Gene_body_2","Gene_body_2","Enhancers","tty"
"fliI","Gene_body_2","Gene_body_2","Gene_body_2","fliI"
"dod","Open_promoters","Low_signal","Open_promoters","dod"
"peng","Gene_body_2","Open_promoters","Open_promoters","peng"
"sol","Gene_body_2","Gene_body_2","Gene_body_2","sol"
"Septin1","Gene_body_2","Open_promoters","Gene_body_2","Septin1"
"bbx","Gene_body_2","Gene_body_2","Gene_body_2","bbx"
"waw","Gene_body_2","Gene_body_2","Gene_body_2","waw"
"asRNA:CR45612","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR45612"
"asRNA:CR45611","Enhancers","Gene_body_2","Enhancers","asRNA:CR45611"
"slgA","Gene_body_2","Gene_body_2","Gene_body_2","slgA"
"Hlc","Open_promoters","Open_promoters","Open_promoters","Hlc"
"snoRNA:MeU6-A47","Gene_body_2","Open_promoters","Open_promoters","snoRNA:MeU6-A47"
"mst","Gene_body_1","Gene_body_2","Gene_body_1","mst"
"lncRNA:CR45500","Low_signal","HP1","H1","lncRNA:CR45500"
"whe","Low_signal","Low_signal","Enhancers","whe"
"DIP-beta","Low_signal","Enhancers","Enhancers","DIP-beta"
"lncRNA:CR45507","Enhancers","Enhancers","Enhancers","lncRNA:CR45507"
"lncRNA:CR45508","Enhancers","Enhancers","Enhancers","lncRNA:CR45508"
"Cyp6t1","Low_signal","Enhancers","Low_signal","Cyp6t1"
"lncRNA:CR46472","H1","Low_signal","Low_signal","lncRNA:CR46472"
"lncRNA:CR44711","Low_signal","Enhancers","Enhancers","lncRNA:CR44711"
"GCS2alpha","Gene_body_2","Gene_body_2","Gene_body_2","GCS2alpha"
"DIP1","Open_promoters","Gene_body_2","Open_promoters","DIP1"
"lncRNA:CR44712","HP1","Low_signal","Low_signal","lncRNA:CR44712"
"lncRNA:flam","HP1","Low_signal","Low_signal","lncRNA:flam"
"CG41562","HP1","Low_signal","Low_signal","CG41562"
"CG14621","Gene_body_2","Gene_body_2","Open_promoters","CG14621"
"CG14615","Gene_body_2","Gene_body_2","Gene_body_1","CG14615"
"tilB","Gene_body_2","Gene_body_2","Gene_body_2","tilB"
"wap","Gene_body_2","Gene_body_2","Gene_body_2","wap"
"Usp2","Gene_body_2","Gene_body_2","Gene_body_1","Usp2"
"CG14618","Open_promoters","Open_promoters","Open_promoters","CG14618"
"CG12576","Gene_body_2","Open_promoters","Gene_body_2","CG12576"
"Cp110","Gene_body_2","Gene_body_2","Gene_body_2","Cp110"
"l(1)G0196","H1","HP1","Gene_body_1","l(1)G0196"
"lncRNA:CR43962","H1","Low_signal","Low_signal","lncRNA:CR43962"
"CG17600","Gene_body_2","Gene_body_2","H1","CG17600"
"S6kII","Gene_body_1","Gene_body_2","Gene_body_2","S6kII"
"CG17598","Gene_body_2","Gene_body_2","Gene_body_1","CG17598"
"Cluap1","Gene_body_2","Low_signal","H1","Cluap1"
"CG17601","H1","H1","H1","CG17601"
"lncRNA:CR44997","H1","Low_signal","Enhancers","lncRNA:CR44997"
"lncRNA:CR44109","H1","H1","H1","lncRNA:CR44109"
"CG12446","H1","H1","H1","CG12446"
"fog","H1","Low_signal","H1","fog"
"CG42346","H1","H1","H1","CG42346"
"lncRNA:CR43656","H1","H1","Low_signal","lncRNA:CR43656"
"CG34334","HP1","H1","H1","CG34334"
"lncRNA:CR41352","HP1","Low_signal","Low_signal","lncRNA:CR41352"
"Nep1r1","H1","Low_signal","H1","Nep1r1"
"lncRNA:CR45502","H1","Low_signal","H1","lncRNA:CR45502"
"CG40486","H1","H1","H1","CG40486"
"CG40485","H1","H1","Low_signal","CG40485"
"stnA","HP1","Enhancers","Enhancers","stnA"
